municipio,grado_accesibilidad,0
Ensenada,Accesibilidad alta,581
Ensenada,Accesibilidad baja,36
Ensenada,Accesibilidad media,275
Ensenada,Accesibilidad muy alta,91
Ensenada,Accesibilidad muy baja,726
Mexicali,Accesibilidad alta,796
Mexicali,Accesibilidad baja,51
Mexicali,Accesibilidad media,295
Mexicali,Accesibilidad muy alta,268
Mexicali,Accesibilidad muy baja,240
Playas de Rosarito,Accesibilidad alta,92
Playas de Rosarito,Accesibilidad baja,5
Playas de Rosarito,Accesibilidad media,31
Playas de Rosarito,Accesibilidad muy alta,10
Playas de Rosarito,Accesibilidad muy baja,69
Tecate,Accesibilidad alta,102
Tecate,Accesibilidad baja,32
Tecate,Accesibilidad media,57
Tecate,Accesibilidad muy alta,83
Tecate,Accesibilidad muy baja,171
Tijuana,Accesibilidad alta,204
Tijuana,Accesibilidad baja,31
Tijuana,Accesibilidad media,72
Tijuana,Accesibilidad muy alta,99
Tijuana,Accesibilidad muy baja,130
